Day,Sleeping,Eating,Class,Homework,Hygiene,Exercise,Chores,Fun
Thursday,276,102,80,260,107,28,58,529
Friday,460,91,430,0,82,0,53,324
Saturday,613,134,0,184,128,31,129,221
Sunday,383,137,0,250,88,29,125,428
Monday,348,117,80,319,106,27,60,383
Tuesday,512,104,430,174,83,0,69,68
Wednesday,419,144,0,332,130,37,75,303
Thursday,430,117,80,251,110,32,66,354
Friday,422,106,430,0,80,0,43,359
Saturday,408,127,0,217,129,34,127,398
Sunday,434,136,0,290,101,25,138,316
Monday,444,125,80,321,106,35,60,269
Tuesday,539,102,430,157,95,0,68,49
Wednesday,382,124,0,352,101,45,79,357
Thursday,438,123,80,267,102,32,64,334
Friday,638,100,430,0,97,0,49,126
Saturday,441,129,0,205,132,30,122,381
Sunday,434,125,0,247,88,25,128,393
Monday,480,114,80,322,106,31,53,254
Tuesday,383,108,430,168,100,0,68,183
Wednesday,416,122,0,335,102,39,69,357
Thursday,445,129,80,263,113,28,70,312
Friday,531,103,430,0,93,0,36,247
Saturday,646,144,0,238,116,34,122,140
Sunday,435,120,0,277,92,31,128,357
Monday,307,126,80,341,117,34,52,383
Tuesday,378,100,430,176,98,0,73,185
Wednesday,480,130,0,311,137,39,65,278
Thursday,400,103,80,270,99,27,50,411
Friday,454,93,430,0,100,0,44,319
Saturday,650,126,0,182,137,32,108,205
Sunday,424,131,0,241,98,33,130,383
Monday,469,102,80,331,119,29,63,247
Tuesday,414,107,430,149,99,0,60,181
Wednesday,469,134,0,338,118,45,83,253
Thursday,447,107,80,287,107,29,68,315
Friday,626,107,430,0,82,0,53,142
Saturday,457,134,0,204,128,25,105,387
Sunday,394,127,0,280,92,27,134,386
Monday,479,108,80,327,109,26,68,243
Tuesday,523,96,430,165,88,0,72,66
Wednesday,479,121,0,305,137,39,60,299
Thursday,300,123,80,252,117,34,41,493
Friday,594,102,430,0,87,0,31,196
Saturday,432,121,0,232,137,27,105,386
Sunday,445,144,0,255,83,33,128,352
Monday,279,127,80,314,106,34,51,449
Tuesday,463,102,430,173,82,0,75,115
Wednesday,367,129,0,321,126,41,86,370
Thursday,293,115,80,242,101,31,65,513
Friday,421,104,430,0,90,0,38,357
Saturday,374,149,0,212,115,31,100,459
Sunday,434,127,0,277,99,25,125,353
Monday,242,108,80,342,101,33,48,486
Tuesday,457,104,430,159,83,0,85,122
Wednesday,416,143,0,317,109,42,67,346
Thursday,241,127,80,259,116,27,49,541
Friday,368,110,430,0,80,0,40,412
Saturday,460,129,0,206,105,33,109,398
Sunday,406,124,0,257,100,34,136,383
Monday,477,121,80,337,109,28,42,246
Tuesday,522,99,430,180,91,0,78,40
Wednesday,361,132,0,306,128,40,73,400
Thursday,338,112,80,240,101,34,68,467
Friday,487,99,430,0,90,0,31,303
Saturday,388,125,0,206,104,34,115,468
Sunday,388,148,0,243,107,34,145,375
Monday,425,114,80,349,115,35,51,271
Tuesday,463,103,430,155,99,0,60,130
Wednesday,406,132,0,320,119,44,86,333
Thursday,462,120,80,267,106,31,62,312
Friday,561,109,430,0,90,0,31,219
Saturday,643,137,0,219,112,32,127,170
Sunday,461,143,0,290,88,33,140,285
Monday,464,128,80,314,101,35,62,256
Tuesday,537,95,430,132,96,0,86,64
Wednesday,377,130,0,325,131,36,63,378
Thursday,342,101,80,259,109,33,70,446
Friday,636,95,430,0,100,0,31,148
Saturday,606,136,0,214,132,28,105,219
Sunday,479,122,0,244,82,33,130,350
Monday,365,104,80,347,90,29,45,380
Tuesday,397,102,430,144,87,0,88,192
Wednesday,440,125,0,355,138,37,85,260
Thursday,276,119,80,258,108,31,52,516
Friday,587,98,430,0,100,0,48,177
Saturday,650,135,0,181,130,29,117,198
Sunday,436,144,0,258,91,32,148,331
Monday,360,115,80,344,90,27,55,369
Tuesday,516,108,430,138,92,0,81,75
Wednesday,391,139,0,351,115,38,86,320
Thursday,309,121,80,273,110,35,59,453
Friday,418,104,430,0,89,0,35,364
Saturday,403,141,0,220,119,30,121,406
Sunday,369,129,0,267,96,32,144,403
Monday,348,103,80,356,116,29,60,348
Tuesday,459,95,430,163,86,0,63,144
Wednesday,453,142,0,342,131,42,79,251
Thursday,351,120,80,292,120,26,43,408
Friday,457,92,430,0,98,0,54,309
Saturday,405,148,0,186,109,34,129,429
Sunday,367,150,0,274,85,32,144,388
Monday,378,104,80,352,114,35,63,314
Tuesday,461,90,430,176,87,0,84,112
Wednesday,388,145,0,333,137,37,77,323
Thursday,458,130,80,290,97,33,58,294
Friday,419,100,430,0,87,0,60,344
Saturday,579,121,0,209,121,31,111,268
Sunday,475,125,0,296,89,33,134,288
Monday,0,122,80,648,97,35,45,413
Tuesday,455,109,430,152,95,0,85,114
Wednesday,374,147,0,329,123,40,86,341
Thursday,351,113,80,272,119,30,53,422
Friday,363,106,430,0,92,0,31,418
Saturday,559,120,0,235,110,31,109,276
Sunday,475,147,0,265,93,33,142,285
Monday,408,108,80,349,109,33,67,286
Tuesday,362,94,430,169,92,0,70,223
Wednesday,405,150,0,353,102,45,63,322
Thursday,424,103,80,296,114,26,51,346
Friday,619,109,430,0,84,0,53,145
Saturday,385,133,0,190,105,25,116,486
Sunday,421,142,0,251,80,26,144,376
Monday,298,115,80,334,101,29,66,417
Tuesday,400,109,430,131,97,0,67,206
Wednesday,371,126,0,304,130,40,71,398
Thursday,380,112,80,252,111,25,46,434
Friday,491,90,430,0,92,0,37,300
Saturday,433,121,0,199,101,29,103,454
Sunday,403,132,0,254,109,35,147,360
Monday,418,105,80,349,100,27,52,309
Tuesday,519,101,430,155,90,0,61,84
Wednesday,399,122,0,356,116,35,90,322
Thursday,414,101,80,262,95,35,43,410
Friday,535,92,430,0,89,0,46,248
Saturday,425,150,0,229,127,28,120,361
Sunday,390,129,0,265,97,27,140,392
Monday,298,126,80,318,97,30,66,425
Tuesday,484,106,430,176,87,0,60,97
Wednesday,391,122,0,344,115,36,88,344
Thursday,341,100,80,278,118,32,68,423
Friday,601,98,430,0,82,0,34,195
Saturday,514,131,0,227,120,26,117,305
Sunday,474,135,0,274,100,26,123,308
Monday,439,103,80,350,105,31,60,272
Tuesday,387,98,430,154,89,0,87,195
Wednesday,402,145,0,353,125,37,79,299
Thursday,272,112,80,261,113,27,63,512
Friday,600,91,430,0,95,0,54,170
Saturday,397,132,0,200,125,33,128,425
Sunday,417,146,0,245,100,28,149,355
Monday,394,106,80,316,120,31,56,337
Tuesday,473,107,430,141,82,0,81,126
Wednesday,390,124,0,331,102,35,79,379
Thursday,319,109,80,290,110,25,60,447
Friday,638,90,430,0,87,0,55,140
Saturday,479,149,0,216,128,31,109,328
