Day,Sleeping,Eating,Class,Homework,Hygiene,Exercise,Chores,Fun
152,360,124,0,0,113,25,61,757
153,458,101,0,0,135,32,73,641
154,473,118,0,0,134,26,59,630
155,423,125,0,0,119,32,118,623
156,389,122,0,0,105,25,85,714
157,522,124,0,0,109,25,61,599
158,555,124,0,0,108,27,132,494
159,447,104,0,0,126,30,126,607
160,509,104,0,0,101,31,89,606
161,547,106,0,0,112,30,107,538
162,452,105,0,0,109,31,129,614
163,523,128,0,0,120,32,96,541
164,424,104,0,0,108,25,96,683
165,362,102,0,0,133,33,82,728
166,404,106,0,0,124,30,106,670
167,382,121,0,0,131,34,57,715
168,404,129,0,0,139,32,50,686
169,559,109,0,0,129,28,57,558
170,556,120,0,0,116,29,109,510
171,547,125,0,0,108,30,96,534
172,543,103,0,0,111,28,41,614
173,617,113,0,0,137,30,80,463
174,637,103,0,0,106,32,40,522
175,515,103,0,0,128,25,124,545
176,379,104,0,0,117,31,91,718
177,507,101,0,0,130,33,57,612
178,475,126,0,0,111,34,42,652
179,509,102,0,0,135,25,101,568
180,572,112,0,0,113,29,126,488
181,578,128,0,0,127,30,149,428
182,540,109,0,0,112,27,87,565
183,556,117,0,0,111,25,55,576
184,436,111,0,0,116,29,52,696
185,535,110,0,0,136,34,102,523
186,401,126,0,0,123,34,97,659
187,567,111,0,0,105,30,103,524
188,526,121,0,0,115,30,113,535
189,456,111,0,0,134,27,62,650
190,407,109,0,0,123,34,91,676
191,418,104,0,0,128,26,116,648
192,401,107,0,0,114,33,94,691
193,636,126,0,0,102,25,126,425
194,429,100,0,0,128,33,123,627
195,518,100,0,0,111,30,79,602
196,417,109,0,0,122,29,119,644
197,497,111,0,0,116,34,93,589
198,565,115,0,0,126,27,43,564
199,515,106,0,0,132,31,134,522
200,496,127,0,0,119,25,100,573
201,492,124,0,0,138,27,109,550
202,372,129,0,0,118,27,109,685
203,503,106,0,0,100,26,132,573
204,487,114,0,0,119,26,87,607
205,539,114,0,0,111,33,99,544
206,373,104,0,0,113,25,106,719
207,446,125,0,0,133,29,97,610
208,487,127,0,0,125,28,64,609
209,426,118,0,0,107,34,67,688
210,476,112,0,0,107,29,133,583
211,622,123,0,0,107,29,139,420
212,599,104,0,0,139,27,131,440
213,398,122,0,0,118,29,74,699
214,554,101,0,0,116,27,40,602
215,405,105,0,0,107,31,137,655
216,408,129,0,0,115,25,109,654
217,585,100,0,0,109,29,138,479
218,636,104,0,0,110,33,72,485
219,543,123,0,0,129,30,140,475
220,568,128,0,0,107,30,136,471
221,451,104,0,0,124,26,142,593
222,541,123,0,0,108,30,104,534
223,517,100,0,0,102,33,148,540
224,562,117,0,0,109,33,48,571
225,492,126,0,0,120,33,109,560
226,558,103,0,0,126,30,142,481
227,486,116,0,0,123,33,120,562
228,594,126,0,0,127,25,130,438
229,551,109,0,0,102,30,86,562
230,482,128,0,0,139,32,135,524
231,641,104,0,0,112,30,128,425
232,492,127,0,0,107,33,58,623
233,504,110,0,0,115,28,112,571
234,530,113,0,0,121,29,49,598
235,637,115,0,0,107,29,64,488
236,648,112,0,0,129,34,135,382
237,440,126,0,0,123,33,147,571
238,386,129,0,255,83,26,143,418
239,277,101,80,355,96,29,66,436
240,410,100,430,167,93,0,65,175
241,414,139,0,323,119,38,88,319
242,377,126,80,296,108,34,66,353
243,570,101,430,0,99,0,42,198
244,469,133,0,229,139,34,102,334
245,364,140,0,279,85,29,129,414
246,301,104,80,354,113,25,65,398
247,533,96,430,136,86,0,89,70
248,393,130,0,314,104,38,75,386
249,471,119,80,279,92,28,54,317
250,410,94,430,0,81,0,38,387
251,475,128,0,238,130,30,117,322
252,408,123,0,299,104,28,143,335
253,248,120,80,353,105,26,52,456
254,457,91,430,151,96,0,68,147
255,473,140,0,318,103,36,76,294
256,327,112,80,266,106,33,66,450
257,510,98,430,0,92,0,55,255
258,393,141,0,218,130,27,106,425
259,373,148,0,243,81,29,130,436
260,387,127,80,348,117,26,45,310
261,518,103,430,158,85,0,81,65
262,420,145,0,350,116,44,78,287
263,269,104,80,296,116,26,61,488
264,491,100,430,0,89,0,57,273
265,547,140,0,195,110,31,123,294
266,400,145,0,281,101,29,126,358
267,310,126,80,337,102,34,49,402
268,537,95,430,177,89,0,66,46
269,452,148,0,332,120,36,63,289
270,349,114,80,281,107,33,65,411
271,544,91,430,0,94,0,44,237
272,627,147,0,215,127,28,109,187
273,368,148,0,294,104,28,148,350
274,265,113,80,307,98,33,54,490
275,474,94,430,149,94,0,75,124
276,386,149,0,354,136,36,72,307
277,451,108,80,261,99,30,58,353
278,605,102,430,0,85,0,37,181
279,464,147,0,228,120,28,101,352
280,455,139,0,292,80,25,126,323
281,470,114,80,331,112,34,50,249
282,533,99,430,159,81,0,66,72
283,445,144,0,353,107,40,78,273
284,437,101,80,252,114,27,66,363
285,401,102,430,0,89,0,46,372
286,595,120,0,195,132,26,107,265
287,367,142,0,281,94,27,149,380
288,304,101,80,314,108,32,48,453
289,467,101,430,132,84,0,84,142
290,465,142,0,318,130,41,70,274
291,440,107,80,244,97,30,56,386
292,547,103,430,0,82,0,59,219
293,571,138,0,185,115,32,125,274
294,399,141,0,262,80,27,144,387
295,404,122,80,353,96,29,49,307
296,380,109,430,153,88,0,62,218
297,422,134,0,324,105,37,74,344
298,331,120,80,255,105,30,42,477
299,524,98,430,0,85,0,42,261
300,594,132,0,218,123,25,105,243
301,395,125,0,264,98,26,141,391
302,322,129,80,353,99,29,61,367
303,489,93,430,149,93,0,77,109
304,382,135,0,358,132,36,60,337
305,443,110,80,270,114,28,44,351
306,414,91,430,0,81,0,59,365
307,636,149,0,229,135,32,111,148
308,375,141,0,298,108,28,132,358
309,321,119,80,313,111,26,45,425
310,404,100,430,158,98,0,71,179
311,407,147,0,341,126,42,61,316
312,372,120,80,264,107,30,43,424
313,395,96,430,0,87,0,41,391
314,478,138,0,216,119,26,112,351
315,448,135,0,282,85,26,147,317
316,390,114,80,323,92,25,44,372
317,529,98,430,147,99,0,66,71
318,476,147,0,331,119,35,81,251
319,287,117,80,246,91,28,41,550
320,598,92,430,0,99,0,33,188
321,437,146,0,236,103,34,105,379
322,447,120,0,0,127,32,96,618
323,480,129,0,0,101,26,95,609
324,452,117,0,0,117,27,141,586
325,412,104,0,0,111,29,132,652
326,589,106,0,0,128,34,56,527
327,621,102,0,0,124,30,75,488
328,465,117,0,0,111,33,82,632
329,456,146,0,258,107,29,147,297
330,437,124,80,332,115,25,40,287
331,534,108,430,135,97,0,65,71
332,454,146,0,343,135,37,68,257
333,471,124,80,275,117,32,43,298
334,433,109,430,0,83,0,51,334
335,458,134,0,189,119,32,102,406
336,455,125,0,263,102,27,146,322
337,335,112,80,315,112,26,41,419
338,406,94,430,179,94,0,77,160
339,370,135,0,356,134,39,82,324
340,283,129,80,245,118,30,59,496
341,491,100,430,0,96,0,51,272
342,606,127,0,226,113,26,129,213
343,388,148,0,255,91,27,142,389
344,314,113,80,338,107,28,41,419
345,435,106,430,174,83,0,88,124
346,443,135,0,323,114,40,74,311
347,279,127,80,272,110,29,42,501
348,442,94,430,0,87,0,39,348
349,417,140,0,180,120,32,101,450
350,414,125,0,0,114,30,86,671
351,600,108,0,0,132,28,73,499
352,540,116,0,0,120,25,144,495
353,416,124,0,0,122,27,79,672
354,418,116,0,0,130,32,58,686
355,478,129,0,0,123,27,92,591
356,469,127,0,0,134,28,122,560
357,412,118,0,0,101,32,72,705
358,562,113,0,0,126,29,54,556
359,576,102,0,0,110,26,130,496
360,580,101,0,0,124,30,77,528
361,510,105,0,0,118,26,100,581
362,433,111,0,0,101,26,43,726
363,361,125,0,0,113,26,121,694
